NAME,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,HYPERLINK,TOTALROOMS,KEEPERNAME,Lat,Lng,ICON_NAME
Jayleen Clarke Quay Hotel,59390,25 New Bridge Road,jayleenclarkequay@gmail.com,20,James Federick Chong Kah Yean,1.28871525038832,103.847502570641,hotel.gif
JEN Singapore Orchardgateway by Shangri-La,238858,"277 Orchard Road , # 10-01",singaporeorchardgateway@hoteljen.com,499,Kuok Oon Kwong,1.30050954183517,103.839224077005,hotel.gif
JEN Singapore Tanglin by Shangri-La,249716,1A Cuscaden Road,singaporetanglin@hoteljen.com,565,Kuok Oon Kwong,1.3042705309298,103.823912360589,hotel.gif
JH HOTEL,399041,8 LORONG 10 GEYLANG,anguskt@gmail.com,42,CHEN ZHIQIONG,1.311585869313,103.877460163672,hotel.gif
Ji Hotel Orchard Singapore,238485,11 PENANG LANE INNOTEL,NA,81,Koo Sheuan,1.297722839747,103.844455112735,hotel.gif
Jin Dong Hotel,399007,33 Lorong 12 Geylang,NA,33,ong kum fatt,1.31022734045131,103.87880673682,hotel.gif
Joyfor Singapore,389226,135 Geylang Road,joyfor.sg@gmail.com,17,Koo Seck Chong,1.31118301196188,103.873959999289,hotel.gif
JW Marriott Hotel Singapore South Beach,189763,30 Beach Road,jw.sinjw.contactus@marriott.com,634,STEPHANE LOUIS FABREGOUL,1.29465290571138,103.855516058723,hotel.gif
K Hotel,399199,44 LORONG 6 GEYLANG,NA,56,CAI WENCHAO,1.30999424174174,103.876502260862,hotel.gif
Holiday Inn Express Singapore Katong,423371,"88 EAST COAST ROAD, # 07-05 KATONG SQUARE",NA,451,Adel Aramouni,1.30485336795088,103.904574228644,hotel.gif
Holiday Inn Express Singapore Orchard Road,229921,20 Bideford Road,info.sinex@ihg.com,221,Najeeb Kurungottu,1.30322795583465,103.836680368343,hotel.gif
Holiday Inn Express Singapore Serangoon,209019,270 JALAN BESAR,NA,119,Garside Ashleigh Maree,1.31014109037569,103.858630348608,hotel.gif
Holiday Inn Singapore Atrium,169075,317 Outram Road,hiatrium@ichotelsgroup.com,518,Tuncay Bockin,1.28907019166027,103.834068286993,hotel.gif
Holiday Inn Singapore Orchard City Centre,229616,11 Cavenagh Road,info.hisinorchard@ihg.com,324,Gobind Naroomal Gary Harilela @Gary Harilela,1.30227912538394,103.841101584501,hotel.gif
Home Suite View Hotel,398993,12 Lorong 12 Geylang,homesuite12@gmail.com,175,SWEE WEIDI,1.31140043113114,103.878121318914,hotel.gif
Hoover Hotel,329706,"246 Balestier Road , # 02-01",NA,42,Lim Choon Hua,1.32170313863895,103.853069621772,hotel.gif
Hotel 165,208532,165 Kitchener Road,jackson@hotel165.sg,68,Siah Wei Bin,1.31047892595777,103.856274002503,hotel.gif
Hotel 1888,58479,"20 TRENGGANU STREET, # 01-03 JINSHAN HOTEL",justin.wong@hotel1888.com.sg,40,Adrian Siow Shen Ngin,1.28285932265539,103.843899635185,hotel.gif
Hotel 81 - Balestier,329688,226 Balestier Road,hotel81@hotel81.com.sg,53,Chu Poh Yong,1.32138046634844,103.853123339191,hotel.gif
Hotel 81 - Bugis,188995,31 Middle Road,hotel81@hotel81.com.sg,88,Chu Poh Yong,1.29687853383032,103.855618625297,hotel.gif
Hotel 81 - Changi,419871,"428 Changi Road , # 01-01",hotel81@hotel81.com.sg,80,Chu Poh Yong,1.31869115633081,103.911729077231,hotel.gif
Hotel 81 - Cherry,399014,3 Lorong 12 Geylang,hotel81@hotel81.com.sg,53,Chu Poh Yong,1.31199127691196,103.878417449833,hotel.gif
Hotel 81 - Chinatown,59418,181 New Bridge Road,hotel81@hotel81.com.sg,95,Chu Poh Yong,1.28456367163908,103.844098495279,hotel.gif
Hotel 81 - Cosy,89263,8 Jiak Chuan Road,hotel81@hotel81.com.sg,39,Chu Poh Yong,1.27966689951546,103.841859436164,hotel.gif
Hotel 81 - Dickson,209530,3 Dickson Road,hotel81@hotel81.com.sg,196,Chu Poh Yong,1.30490446592441,103.854269341864,hotel.gif
Hotel 81 - Elegance,209276,"30 Foch Road , # 01-01",hotel81@hotel81.com.sg,120,Chu Poh Yong,1.31237964690163,103.860271946103,hotel.gif
Hotel 81 - Fuji,329720,269 Balestier Road,hotel81@hotel81.com.sg,78,Chu Poh Yong,1.32218490550845,103.852599854946,hotel.gif
The Quay Hotel West Coast,118769,428 PASIR PANJANG ROAD SANTA GRAND HOTEL WEST COAST,NA,42,Heng Chern Chieh Germaine,1.29233444235646,103.768589721055,hotel.gif
The Quincy Hotel,228517,22 Mount Elizabeth,info.tqh@fareast.com.sg,108,Kurukulasuriya Shakila Mehani Fernando,1.30775153247414,103.835748313428,hotel.gif
Golden Star Hotel,399095,31 Lorong 8 Geylang,goldenstarhotel@yahoo.com.sg,43,Timothy Seah How Ming,1.31076953969736,103.877336359038,hotel.gif
Goodwood Park Hotel,228221,22 Scotts Road,enquiries@goodwoodparkhotel.com.sg,233,"Khoo Bee Geok, Mavis",1.30822214594427,103.83410906863,hotel.gif
Grand Hyatt Singapore,228211,10 Scotts Road,singapore.grand@hyatt.com,677,Willi Beat Martin,1.3063453359855,103.833283334569,hotel.gif
Grand Mercure Roxy Hotel,428769,50 East Coast Road,H3610-FO16@accor.com,576,Ng Wai Peng,1.3043259893264,103.904051128937,hotel.gif
Grand Park City Hall,179809,10 Coleman Street,info.gpch@parkhotelgroup.com,343,Jeane Lim Sook Tiang,1.29262894189275,103.850123925268,hotel.gif
Grand Park Orchard,238857,270 Orchard Road,infor.gpor@parkhotelgroup.com,308,Lim Kang-Ling,1.30310525131104,103.836202012782,hotel.gif
GREENDILI BACKPACKERS HOSTEL,218673,427 RACE COURSE ROAD GREENDILI BACKPACKERS HOSTEL,GREENDILIHOSTEL@GMAIL.COM,9,SUN KANGQING,1.3159109329182,103.857555410336,hotel.gif
Haising Hotel,208801,33A Jalan Besar,hs@haising.com.sg,56,Tan Boon Yong Dominic,1.30462079031568,103.854580698492,hotel.gif
Harbour Ville Hotel,99448,512 Kampong Bahru Road,harbourv@singnet.com.sg,100,Lim Shirley,1.27261402571663,103.827744716094,hotel.gif
Harbour Ville Hotel Hamilton,209210,40 HAMILTON ROAD,NA,43,SOH SHIL NIE,1.31156411968173,103.861509695837,hotel.gif
7 Wonders Hostel,208930,257 Jalan Besar,NA,5,Shahjahan Bin Mohamed Sitthiq,1.31019236449532,103.858155071754,hotel.gif
7 Wonders Hostel @ Upper Dickson,207472,12A UPPER DICKSON ROAD CLIFDEN HOSTEL,hr@7wondershostel.com,8,SHAHJAHAN BIN MOHAMED SITTHIQ,1.30635176142908,103.852350568271,hotel.gif
ABC HOSTEL,199201,3  Jalan Kubor (1st Storey),booking@abchostel.com.sg,23,TEO WEN HAO,1.30366887875577,103.859267550804,hotel.gif
Adamson Lodge,208127,6 Perak Road,query_chris@yahoo.com.sg,7,Lee Choon Chuan,1.30448415943975,103.852965178949,hotel.gif
AL Asia Hotel,389447,488 GEYLANG ROAD,NA,16,Lim Siew Iy @ Lim Siew Ching,1.31324104846935,103.8846809303,hotel.gif
Aliwal Park Hotel,199948,77 Aliwal Street,aliwalpark77@gmail.com,53,Wong Lee Peng,1.30336025012185,103.860268091316,hotel.gif
"Amara Sanctuary Resort, Sentosa",99394,1 Larkhill Road,sentosa@amarasanctuary.com,140,Joseph Thiang Thin Poh,1.25212800048918,103.822016591014,hotel.gif
Amara Singapore,88539,165 Tanjong Pagar Road,singapore@amarahotels.com,380,Joseph Thiang Thin Poh,1.27493473787886,103.843500117167,hotel.gif
Amrise Hotel,387436,"112 Sims Avenue , # 01-01",reservation@amrisehotel.com,58,LIM TIM BOCK,1.31392297209217,103.877872197764,hotel.gif
Ann Siang House,69708,28 ANN SIANG ROAD,NA,20,Manchharam Ashish,1.2807288857312,103.845721510662,hotel.gif
Aqueen Heritage Hotel - Joo Chiat,427373,51 Joo Chiat Road,NA,70,Chan Boon Tat,1.31496412930389,103.8986087202,hotel.gif
AQUEEN Heritage Hotel - Little India,219962,22 BELILIOS LANE AQUEEN HERITAGE HOTEL - LITTLE INDIA,NA,70,Chan Boon Tat,1.30736540957505,103.851868266106,hotel.gif
AQUEEN Hotel - Kitchener,208906,230 Jalan Besar,NA,74,Chan Boon Tat,1.30929085528988,103.858027585848,hotel.gif
Arcadia Hotel,209201,32 Hamilton Road,wyneo@arcadiahotel.com.sg,36,Neo Wan Yong,1.31144511621404,103.861344016453,hotel.gif
Arianna Hotel,207662,83 Syed Alwi Road,accounts@arianna.com.sg,51,Ng Swee Yak,1.30898195611065,103.855916077404,hotel.gif
Ark Hostel,389200,83B Geylang Road,singaporelodgingpteltd@gmail.com,31,Kelvin Tng Eng Khai,1.31083993031984,103.872957810113,hotel.gif
Arton Hotel,207576,176 Tyrwhitt Road,NA,109,Ooi Teck Hin,1.31200012479956,103.860855935208,hotel.gif
Ascott Orchard Singapore,229724,11 CAIRNHILL ROAD,NA,220,Wong Mei Ling Judy,1.30398869691117,103.837118390961,hotel.gif
Ascott Singapore Raffles Place,49247,2 Finlayson Green,enquiry@the-ascott.com,146,Judy Wong Mei Ling,1.28208454707961,103.851544401021,hotel.gif
Asia Star Hotel,207995,44 Rowell Road,johnnyangys@hotmail.com,14,Ang Ying Soon,1.30850392397464,103.854724878876,hotel.gif
Beary Best! Hostel Kampong Glam,199761,"64 ARAB STREET, # 00-00",BearyKG@abearygoodhostel.com,4,MARECHAL PIERRE JEAN M,1.30120414903648,103.859394682355,hotel.gif
BEAT. Sports Hostel,208953,290A Jalan Besar,sports@beathostel.co,13,JEREMY TEO,1.31064624214852,103.85890444877,hotel.gif
Betel Box Backpackers Hostel,427471,200 Joo Chiat Road,info@betelbox.com,6,Tan Say Kiong,1.31220268168059,103.900168104154,hotel.gif
Blanc Inn,207564,151 Tyrwhitt Road,blancinn@gmail.com,4,Iek Tong Wah,1.3118099599849,103.860152247876,hotel.gif
Bliss Hotel Singapore,58353,62 Upper Cross Street,reservation@blisshotel.com.sg,42,Kee Khek Thai,1.28445774430707,103.844304195694,hotel.gif
Blue Jazz Hostel,208916,243 JALAN BESAR,NA,5,Wang CuiRong,1.30982597177326,103.85790553137,hotel.gif
Breeze Inn,199135,3 JALAN PINANG ADAMSON INN,breezeinn8@gmail.com,16,LIN YI YUN,1.30258711150837,103.858436453128,hotel.gif
Bright Star Hotel,388575,20 Lorong 17 Geylang,brightstarhotel@yahoo.com.sg,86,Pauline Seah Swee Lian,1.31351593312261,103.878864871244,hotel.gif
Broadway Hotel,218067,195 Serangoon Road,broadwayhotelsingapore@yahoo.com,65,Sim Seng Quee,1.30917900212984,103.853224451953,hotel.gif
BudgetOne Hotel,398793,10 LORONG 18 GEYLANG BUDGETONE HOTEL,NA,49,Lim Kee Huat,1.31221720783339,103.880423593148,hotel.gif
BUTTERNUTTREE HOTEL,88392,22 TECK LIM ROAD PARK 22 HOTEL CHINATOWN,NA,55,WIWIN CHRISTANTI GHOBIND,1.28063133791161,103.841824512271,hotel.gif
Cameron Hotel,486917,393F Upper Changi Road,info@cameronhotel.com.sg,19,Nicholas Ong Ann Wei,1.33674234821614,103.954974045383,hotel.gif
Campbell Inn,209922,50 CAMPBELL LANE CHECKERS BACKPACKERS,NA,10,Wang Cuirong,1.30499470478209,103.852641538954,hotel.gif
"Capella Hotel, Singapore",98297,1 The Knolls,gr.singapore@capellahotels.com,193,Fernando Gibaja Garcia-Zarco,1.24948297406912,103.824378229099,hotel.gif
"Capri By Fraser Changi City, Singapore",486037,3 Changi Business Park Central 1  Changi City,resvn.changicity@capribyfraser.com,313,Vernon Lee Koon Yong,1.3342655648281,103.963583777969,hotel.gif
"Capri By Fraser China Square, Singapore",58743,181 SOUTH BRIDGE ROAD,reservations.singapore@capribyfraser.com,304,Vernon Lee Koon Yong,1.28401467620777,103.847061684457,hotel.gif
CapsulePod@Aljunied,388194,76A LORONG 27 GEYLANG,NA,8,YAN TONGJI,1.31594220611958,103.883955325222,hotel.gif
Carlton City Hotel Singapore,78862,1 Gopeng Street,douglas.glen@carltoncity.sg,386,Douglas Maxwell Glen,1.27595845561159,103.84369850009,hotel.gif
Carlton Hotel,189558,76 Bras Basah Road,mail@carltonhotel.sg,940,Darren Leroy Ware,1.29592644324195,103.852518906013,hotel.gif
Champion Hotel,427726,60 Joo Chiat Road,janet@championhotel.com.sg,81,Lim Liang Jason,1.31473398017971,103.898375899105,hotel.gif
Changi Cove,509866,351 Cranwell Road,enquiry@changicove.com,141,Chew Tee Yen,1.38857514608333,103.975654971312,hotel.gif
Cherryloft Resorts,509404,159 Jalan Loyang Besar,resorts@cherryloft.com,186,ONG RYAN ZHENGYONG,1.37916855177722,103.958317578175,hotel.gif
Circular House,49362,6 CIRCULAR ROAD,NA,12,AMIT BHAGAT,1.28795051990571,103.848964671913,hotel.gif
Citadines Rochor Singapore,218227,"2 SERANGOON ROAD, # 03-01 TEKKA PLACE",frontoffice.crsg@the-ascott.com,320,WONG MEI LING JUDY,1.30512221745202,103.851438825178,hotel.gif
City Backpackers,59661,18 Hongkong Street,citybackpackers@hotmail.com,11,Tan Kee Chong Derrick,1.2878039882589,103.847281913664,hotel.gif
Hawaii Hostel,189641,169A Bencoolen Street,NA,83,Ng Kun Heng,1.30156897150731,103.852244669339,hotel.gif
