NAME,DESCRIPTION,ADDRESSSTREETNAME,HYPERLINK,PHOTOURL,URL_PATH,IMAGE_ALT_TEXT,PHOTOCREDITS,LASTMODIFIED,LATITUDE,LONGTITUDE,META_DESCRIPTION,OPENING_HOURS,Lat,Lng,ICON_NAME,ADDRESSPOSTALCODE
"Chinatown Heritage Centre, Singapore",Experience how Singapore’s early Chinese migrants once lived and learn more about local Chinese culture at the Chinatown Heritage Centre.,48 Pagoda Street,http://www.singaporechinatown.com.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/chinatown-heritage-centre-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/chinatown-heritage-centre.html,Learn more about local Chinese culture at the Singapore Chinatown Heritage Centre.,Joel Chua DY,2015-11-02T10:16:52.847+08:00,1.28351,103.84435,"At the Chinatown Heritage Centre, experience how Singapore’s early Chinese migrants once lived and learn more about local Chinese culture.","Daily, 9am – 8pm,Last entry at 7pm.*Chinatown Heritage Centre will be closed for renovation from 1 October 2014 till end-2015.",1.28351000044155,103.844350000081,tourist_spot.gif,NA
"Thian Hock Keng Temple, Singapore","Beautifully restored, Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.",158 Telok Ayer Street,http://www.thianhockkeng.com.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/thian-hock-kheng-temple-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/thian-hock-keng-temple.html,"The Thian Hock Keng Temple in Singapore is dedicated to Mazu, the Goddess of the Sea.",Joel Chua DY,2015-11-02T10:20:57.245+08:00,1.28094,103.84763,"Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.","Daily, 7.30am – 5.30pm",1.28093999972187,103.847629999838,tourist_spot.gif,NA
Eurasian Heritage Centre: Singapore Attraction,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.,139 Ceylon Road,http://www.eurasians.org.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/eurasian-heritage-centre-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/eurasian-heritage-centre.html,Discover the history and culture of the Eurasian community in Singapore.,Joel Chua DY,2015-11-02T10:13:25.883+08:00,1.31007,103.89942,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.,"Tuesday to Sunday, 9am – 6pm, Closed on Monday",1.31007000037575,103.899420000114,tourist_spot.gif,NA
Shophouses,"With many beautifully preserved examples on hand today, the shophouses in Singapore are prime examples of timeless architectural appeal.",NA,NA,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/shophouses-typology-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/historical/shophouses-typology.html,The varying styles of Singapore's shophouses are a showcase of our evolving architecture.,NA,2015-11-02T10:15:26.429+08:00,1.2772186,103.8373356,"Few buildings epitomise our culture as fully as the shophouse, with its surprisingly harmonious mix of diverse design elements.",NA,1.27721860026293,103.837335599668,tourist_spot.gif,0
Capitol Building Singapore,The queen of Singapore cinemas will soon reclaim her crown as the premier entertainment hub when Capitol Building reopens next year.,11 Stamford Road,http://www.capitolsingapore.com,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/capitol-building-carousel01-rect-norender.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/historical/capitol-building-singapore.html,The Capitol Building's distinctive facade adds a touch of grandeur to the cityscape.,NA,2015-11-02T10:06:38.723+08:00,1.29354,103.85157,"Now undergoing massive restoration works, Capitol Building will emerge as Singapore’s premier entertainment hub next year.",NA,1.29353999981493,103.851570000039,tourist_spot.gif,NA
Esplanade Theatre,This boldly designed performing arts centre has become a memorable part of Singapore’s skyline.,1 Esplanade Drive,http://www.esplanade.com,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-esplanade-theatres-on-the-bay-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/modern/esplanade-theatres-on-the-bay.html,Catch a world-class opera or pop concert at Singapore’s premier performing arts centre.,NA,2015-11-02T09:14:44.054+08:00,1.28986,103.85528,The Esplanade is boldly designed performing arts centre that has become a memorable part of Singapore’s skyline.,NA,1.28985999957014,103.855279999976,tourist_spot.gif,NA
Gardens by the Bay,"The lush and beautiful Gardens by the Bay is dominated by the sleekly sculptured biodomes – marvels of architecture, design and engineering.",18 Marina Gardens Drive,http://www.gardensbythebay.com.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/gardens-by-the-bay-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/modern/gardens-by-the-bay.html,"Gardens by the Bay seamlessly blends sleek design, cutting-edge technology and fun.",NA,2015-11-02T09:42:14.206+08:00,1.281568,103.863613,"Biodomes, baobabs and the blossoming bounty of every conceivable plant will bowl you over at Gardens by the Bay.","Outdoor Gardens: 5am – 2am,Conservatories: 9am – 9pm,OCBC Skyway: 9am – 9pm",1.2815679999757,103.863612999906,tourist_spot.gif,NA
The Interlace,There’s more than meets the eye in The Interlace’s artful arrangement of residential blocks.,180-226 Depot Road,http://www.theinterlace.com,NA,www.yoursingapore.com/en/see-do-singapore/architecture/modern/the-interlace.html,NA,NA,2015-11-02T09:19:31.553+08:00,1.28199,103.80305,"Few buildings demonstrate out-of-the-box thinking as well as The Interlace, an intriguingly designed residential complex.",NA,1.28199000006396,103.80305000026,tourist_spot.gif,NA
PARKROYAL on Pickering,PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.,3 Upper Pickering Street,http://www.parkroyalhotels.com/en/hotels-resorts/singapore/pickering.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/parkroyal-pickering-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/modern/parkroyal-on-pickering.html,Pamper yourself and save the world at the same time at PARKROYAL on Pickering.,NA,2015-11-02T09:34:05.378+08:00,1.285563,103.846522,PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.,NA,1.28556299968549,103.846521999998,tourist_spot.gif,NA
Lasalle College of the Arts,How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.,1 McNally Street,https://www.lasalle.edu.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/503-lasalle-college-of-the-arts-carousel01-rect..jpg,www.yoursingapore.com/en/see-do-singapore/architecture/modern/lasalle-college-of-the-arts.html,Lasalle College of the Arts pushes the boundaries of creativity in architecture,Lasalle College of the Arts,2015-11-02T09:49:08.755+08:00,1.3029,103.8516,"Lasalle College of the Arts evokes awe with its bold, graphic lines and stunning reinterpretation of nature.","Administration Office, Monday to Friday, 9am to 6pm. Visitors can still walk around the campus after office opening hours",1.30290000041802,103.851600000365,tourist_spot.gif,NA
