"Name","Postcode","LATITUDE","LONGITUDE"
"McDonald Alocassia","259727","1.31943645952176","103.827347301883"
"McDonald Ang Mo Kio","569922","1.36929729654979","103.84715944541"
"McDonald Ang Mo Kio 4","560163","1.37354853919927","103.838176471398"
"McDonald Ang Mo Kio Ave 10","560448","1.3674419012314","103.856396604517"
"McDonald Ang Mo Kio Park","567740","1.37247443568418","103.844739980654"
"McDonald Aperia Mall","339511","1.3097112065077","103.864326436447"
"McDonald Beauty World","588177","1.34241264188642","103.776539385406"
"McDonald Bedok Mall","467360","1.32473632812103","103.929256259726"
"McDonald Bedok North","460539","1.33131386579703","103.925307290709"
"McDonald Bedok Reservoir","470632","1.33205094618817","103.914145075793"
"McDonald Bedok Reservoir Park","470744","1.33786042639305","103.921663304068"
"McDonald Bendemeer","330022","1.31817642675037","103.861403795159"
"McDonald Bishan Junction 8","579837","1.3504812534505","103.848760473211"
"McDonald Bishan Park","569981","1.36109752736826","103.846613411154"
"McDonald Boat Quay","048508","1.28578886408586","103.849836306094"
"McDonald Buangkok Square","530991","1.38433426615655","103.881623070164"
"McDonald Bugis Junction","188024","1.30011789343093","103.856191571652"
"McDonald Bugis Village","188426","1.3009017308766","103.855263106234"
"McDonald Bukit Batok","650632","1.34929895794167","103.750830565891"
"McDonald Bukit Batok West","650152","1.34830189530172","103.744257268105"
"McDonald Bukit Gombak","650374","1.35798291106742","103.750736425731"
"McDonald Bukit Panjang Plaza","677743","1.37992045176243","103.764357180314"
"McDonald Canberra","750133","1.44349544527985","103.830345369213"
"McDonald Causeway Point","738099","1.43590007901468","103.785795816344"
"McDonald Changi City Point","486038","1.33408363820793","103.962946043413"
"McDonald Chinatown Point","059432","1.28365312664213","103.843309601841"
"McDonald Choa Chu Kang 62","680623","1.39832134857945","103.747344866472"
"McDonald Choa Chu Kang 4","689812","1.38497459672379","103.745011766388"
"McDonald Choa Chu Kang 4 (Kiosk)","689810","1.38567272095725","103.74413911363"
"McDonald Chua Chu Kang CC","688892","1.38115529117059","103.751903879838"
"McDonald City Square Mall","208539","1.31139349427341","103.856487111691"
"McDonald Clementi Avenue 3","120451","1.31268636837411","103.765623220882"
"McDonald Clementi Mall","129588","1.3154959389283","103.764583794683"
"McDonald Clifford Centre","048621","1.28385576258579","103.852130314564"
"McDonald Compass 1","545078","1.39205314156706","103.89507054384"
"McDonald Downtown East","519599","1.3766980678365","103.95514122442"
"McDonald East Point Mall","528833","1.34269199750599","103.953050756306"
"McDonald Elias Community Centre","519498","1.37843931210648","103.942549067179"
"McDonald Fairprice Hub","629117","1.3271618610269","103.678279283036"
"McDonald Fajar","670445","1.38357469942896","103.770868459633"
"McDonald Farrer Road","258748","1.32259059908733","103.81369629522"
"McDonald Forum Galleria","238884","1.30624873073847","103.829034914315"
"McDonald Funan Center","179105","1.29134759697794","103.849989790085"
"McDonald Gek Poh","640762","1.3487416466288","103.697739629738"
"McDonald Geylang East Central","380113","1.32052595935167","103.886159306934"
"McDonald Great World City","237994","1.29380235105066","103.831757911057"
"McDonald Greenridge Shopping Centre","671524","1.38529556252963","103.766170532051"
"McDonald HarbourFront Centre","099253","1.26401293230767","103.82005101011"
"McDonald Hillion Mall","678278","1.37843100800213","103.762842789877"
"McDonald Hougang","530208","1.35869679955104","103.886636111344"
"McDonald Hougang 1","538692","1.37561464129476","103.879483534695"
"McDonald Hougang 8","530684","1.3739584050047","103.886898456705"
"McDonald Hougang Mall","538766","1.37248308734511","103.893788141349"
"McDonald IMM","609601","1.3346666186285","103.74695659203"
"McDonald JCube","609731","1.33332312550425","103.740187071348"
"McDonald JEM","608549","1.33329334473462","103.743278742341"
"McDonald Jurong Bowl","618640","1.32591170514749","103.724550191028"
"McDonald Jurong Central Park","649849","1.33917483361225","103.70865558407"
"McDonald Jurong East 24","600256","1.34416527251747","103.738263367232"
"McDonald Jurong Green CC","649520","1.3505471715128","103.725397680726"
"McDonald Jurong Point","648886","1.33945271661445","103.70668501289"
"McDonald Jurong Spring CC (JSC2)","649296","1.3483301723683","103.718155695546"
"McDonald Keat Hong","680818","1.37802616177265","103.748826770919"
"McDonald Khatib","760846","1.41678634718118","103.834641579241"
"McDonald LeQuest","657991","1.35594171176111","103.741127005764"
"McDonald LIDO","238868","1.30580981580562","103.831507365654"
"McDonald Loyang Point","510258","1.36707357525622","103.964632225014"
"McDonald Lucky Plaza","238863","1.30450604646634","103.833962339817"
"McDonald Marina Square","039594","1.29185533273026","103.85857808906"
"McDonald Marine Cove","449876","1.3014332892252","103.912911298667"
"McDonald Metropolis","138588","1.30624556811811","103.791237458059"
"McDonald Nanyang Technological University","637331","1.34713048855579","103.680033789538"
"McDonald NEX","556083","1.35067551435975","103.871861623874"
"McDonald Northpoint","769098","1.42924414326245","103.836107231373"
"McDonald Parklane","188307","1.30065102658844","103.84944198056"
"McDonald Parkway Centre","449408","1.30188732078192","103.905996468402"
"McDonald Pasir Ris Central","518457","1.37228761596577","103.949733905672"
"McDonald Pasir Ris Sports Complex","519640","1.37405935580675","103.951850332313"
"McDonald Paya Lebar Square","409051","1.31881486980278","103.892580778242"
"McDonald People¡¯s Park","059108","1.28404487854559","103.842590753293"
"McDonald Pioneer Mall","640638","1.34167331883255","103.697244542805"
"McDonald Plaza Singapura","238839","1.30082071769235","103.845067272938"
"McDonald Potong Pasir","350148","1.3323543597317","103.86777426102"
"McDonald PSA","119963","1.27414893629254","103.801399416665"
"McDonald Punggol 21 Community Centre","828815","1.39344316509752","103.913664589928"
"McDonald Punggol Oasis","820681","1.40278015725693","103.913215101343"
"McDonald Queensway","149066","1.30406164409198","103.802110370883"
"McDonald Queensway Shopping Centre","149053","1.28761792586115","103.803391140455"
"McDonald Raffles City","179103","1.29376028134073","103.852768324281"
"McDonald Regal","159460","1.28348433174779","103.818267800134"
"McDonald Resorts World Sentosa","098138","1.25524547806487","103.820885377493"
"McDonald Rivervale Mall","545082","1.39250410994833","103.904483668323"
"McDonald SAFRA Punggol","828654","1.41019488801342","103.906072212007"
"McDonald SAFRA Toa Payoh","319387","1.32980734095166","103.854404351883"
"McDonald SAFRA Yishun","769027","1.42429829576671","103.840902278162"
"McDonald SCAPE","237978","1.30106463675593","103.835784682851"
"McDonald Seletar Mall","797653","1.39131549124709","103.876213231014"
"McDonald Sengkang Rivervale Plaza","540118","1.38550420775531","103.901988424927"
"McDonald Sengkang Sports Complex","544964","1.39682003561904","103.886846599447"
"McDonald Serangoon Avenue 3","550267","1.3531696660359","103.870953693678"
"McDonald Shell Havelock","169637","1.28984686860999","103.832414752412"
"McDonald Shell Hougang","538846","1.34932066527583","103.89014515132"
"McDonald Shell Tampines","529731","1.34922876330017","103.947704385806"
"McDonald Siglap","455871","1.31258172942664","103.923250207297"
"McDonald Singapore Polytechnic","139651","1.30702264102575","103.779245253551"
"McDonald SpringLeaf Tower","079909","1.27508475472297","103.84624628336"
"McDonald Sun Plaza","757713","1.44820036592783","103.819530140823"
"McDonald Suntec City","038983","1.29501962804526","103.857761676467"
"McDonald Tampines","521512","1.35452512033338","103.943947860672"
"McDonald Tampines (Kiosk)","521512","1.35452512033338","103.943947860672"
"McDonald Tampines East CC","529341","1.35335683374898","103.954620457783"
"McDonald Tampines Green View","520614","1.36538278363847","103.936722564783"
"McDonald Tampines Mall","529510","1.35250468330971","103.944682574769"
"McDonald Tampines Neighborhood 3","529284","1.35436981591879","103.959906449844"
"McDonald Tampines West CC","529705","1.34875950111412","103.935689637762"
"McDonald Temasek Polytechnic","529757","1.34594607020383","103.932631490034"
"McDonald Tiong Bahru Plaza","168732","1.28633177192832","103.827550771424"
"McDonald Toa Payoh Central","319515","1.33403623894465","103.850977706475"
"McDonald Toa Payoh HDB Center","310490","1.33257175548727","103.848052601098"
"McDonald Toa Payoh Lorong 1","310109","1.34123727120826","103.846202460812"
"McDonald TradeHub 21","609971","1.32822829508816","103.751674926384"
"McDonald United Square","307591","1.31742800767635","103.843670754851"
"McDonald V Hotel","208767","1.3078301007512","103.862736376488"
"McDonald Vista Point","730548","1.43044361465906","103.793804889547"
"McDonald VivoCity","098585","1.26434458658544","103.822476140505"
"McDonald Waterway Point","828761","1.40638890775119","103.902150850842"
