Name,Postcode
McDonald Alocassia,259727
McDonald Ang Mo Kio,569922
McDonald Ang Mo Kio 4,560163
McDonald Ang Mo Kio Ave 10,560448
McDonald Ang Mo Kio Park,567740
McDonald Aperia Mall,339511
McDonald Beauty World,588177
McDonald Bedok Mall,467360
McDonald Bedok North,460539
McDonald Bedok Reservoir,470632
McDonald Bedok Reservoir Park,470744
McDonald Bendemeer,330022
McDonald Bishan Junction 8,579837
McDonald Bishan Park,569981
McDonald Boat Quay,048508
McDonald Buangkok Square,530991
McDonald Bugis Junction,188024
McDonald Bugis Village,188426
McDonald Bukit Batok,650632
McDonald Bukit Batok West,650152
McDonald Bukit Gombak,650374
McDonald Bukit Panjang Plaza,677743
McDonald Canberra,750133
McDonald Causeway Point,738099
McDonald Changi City Point,486038
McDonald Chinatown Point,059432
McDonald Choa Chu Kang 62,680623
McDonald Choa Chu Kang 4,689812
McDonald Choa Chu Kang 4 (Kiosk),689810
McDonald Chua Chu Kang CC,688892
McDonald City Square Mall,208539
McDonald Clementi Avenue 3,120451
McDonald Clementi Mall,129588
McDonald Clifford Centre,048621
McDonald Compass 1,545078
McDonald Downtown East,519599
McDonald East Point Mall,528833
McDonald Elias Community Centre,519498
McDonald Fairprice Hub,629117
McDonald Fajar,670445
McDonald Farrer Road,258748
McDonald Forum Galleria,238884
McDonald Funan Center,179105
McDonald Gardens By The Bay,018954
McDonald Gek Poh,640762
McDonald Geylang East Central,380113
McDonald Great World City,237994
McDonald Greenridge Shopping Centre,671524
McDonald HarbourFront Centre,099253
McDonald Hillion Mall,678278
McDonald Hougang,530208
McDonald Hougang 1,538692
McDonald Hougang 8,530684
McDonald Hougang Mall,538766
McDonald IMM,609601
McDonald JCube,609731
McDonald JEM,608549
McDonald Jurong Bowl,618640
McDonald Jurong Central Park,649849
McDonald Jurong East 24,600256
McDonald Jurong Green CC,649520
McDonald Jurong Point,648886
McDonald Jurong Spring CC (JSC2),649296
McDonald Keat Hong,680818
McDonald Khatib,760846
McDonald LeQuest,657991
McDonald LIDO,238868
McDonald Loyang Point,510258
McDonald Lucky Plaza,238863
McDonald Marina Square,039594
McDonald Marine Cove,449876
McDonald Metropolis,138588
McDonald Nanyang Technological University,637331
McDonald NEX,556083
McDonald Northpoint,769098
McDonald Parklane,188307
McDonald Parkway Centre,449408
McDonald Pasir Ris Central,518457
McDonald Pasir Ris Sports Complex,519640
McDonald Paya Lebar Square,409051
McDonald People’s Park,059108
McDonald Pioneer Mall,640638
McDonald Plaza Singapura,238839
McDonald Potong Pasir,350148
McDonald PSA,119963
McDonald Punggol 21 Community Centre,828815
McDonald Punggol Oasis,820681
McDonald Queensway,149066
McDonald Queensway Shopping Centre,149053
McDonald Raffles City,179103
McDonald Regal,159460
McDonald Resorts World Sentosa,098138
McDonald Rivervale Mall,545082
McDonald SAFRA Punggol,828654
McDonald SAFRA Toa Payoh,319387
McDonald SAFRA Yishun,769027
McDonald SCAPE,237978
McDonald Seletar Mall,797653
McDonald Sengkang Rivervale Plaza,540118
McDonald Sengkang Sports Complex,544964
McDonald Serangoon Avenue 3,550267
McDonald Shell Havelock,169637
McDonald Shell Hougang,538846
McDonald Shell Tampines,529731
McDonald Siglap,455871
McDonald Singapore Polytechnic,139651
McDonald SpringLeaf Tower,079909
McDonald Sun Plaza,757713
McDonald Suntec City,038983
McDonald Tampines,521512
McDonald Tampines (Kiosk),521512
McDonald Tampines East CC,529341
McDonald Tampines Green View,520614
McDonald Tampines Mall,529510
McDonald Tampines Neighborhood 3,529284
McDonald Tampines West CC,529705
McDonald Temasek Polytechnic,529757
McDonald Tiong Bahru Plaza,168732
McDonald Toa Payoh Central,319515
McDonald Toa Payoh HDB Center,310490
McDonald Toa Payoh Lorong 1,310109
McDonald TradeHub 21,609971
McDonald United Square,307591
McDonald V Hotel,208767
McDonald Vista Point,730548
McDonald VivoCity,098585
McDonald Waterway Point,828761
McDonald West Coast Park,126844
McDonald WoodGrove,739065
McDonald Woodlands Civic Centre,730900
McDonald Woodlands Mart,730768
McDonald Yishun,758382
McDonald Yishun Blossom Spring,760461
McDonald Yishun Ring Road,760293
McDonald Zhongshan Mall,329984
